Transaction_ID,Product_ID,Product_Category,Product_Subcategory,Product_Price,Quantity_Sold,Transaction_Date,Customer_ID,Customer_Location,Payment_Method,Total_Sales,Transaction_Month
62,159,Books,Board Game,142.02,16,2023-05-10,1011,New York,Debit Card,2272.32,5
63,170,Clothing,Shirt,485.91,9,2023-07-10,1069,Illinois,PayPal,4373.1900000000005,7
64,143,Toys,Non-fiction,169.02,19,2023-09-02,1021,Texas,PayPal,3211.38,9
65,107,Clothing,Board Game,243.61,12,2022-04-19,1031,Florida,Debit Card,2923.32,4
66,146,Books,Laptop,102.07,19,2023-01-07,1083,New York,Debit Card,1939.33,1
67,134,Electronics,Action Figure,307.34,9,2023-09-08,1000,Illinois,Credit Card,2766.06,9
68,177,Toys,Shirt,143.94,7,2022-07-25,1053,Florida,Cash,1007.5799999999999,7
69,180,Electronics,Fruit,107.46,14,2022-02-12,1057,Illinois,PayPal,1504.4399999999998,2
70,135,Electronics,Board Game,260.7,19,2022-09-02,1069,Texas,Debit Card,4953.3,9
71,149,Electronics,Non-fiction,7.73,19,2022-10-14,1082,New York,Credit Card,146.87,10
72,103,Groceries,Laptop,8.79,2,2022-12-21,1017,Florida,Cash,17.58,12
73,101,Groceries,Vegetable,113.44,9,2023-04-21,1005,New York,Debit Card,1020.96,4
74,105,Electronics,Fruit,23.18,13,2022-03-24,1044,Texas,Cash,301.34,3
75,153,Toys,Board Game,58.47,15,2022-04-20,1096,New York,Cash,877.05,4
76,103,Books,Action Figure,172.74,3,2022-07-09,1022,New York,PayPal,518.22,7
77,153,Books,Fruit,402.28,11,2022-09-08,1022,California,PayPal,4425.08,9
78,192,Clothing,Laptop,288.16,14,2023-12-25,1025,New York,Debit Card,4034.2400000000002,12
79,162,Toys,Fruit,258.77,8,2022-10-18,1076,Illinois,Cash,2070.16,10
80,117,Groceries,Pants,150.28,18,2023-10-07,1006,Florida,Debit Card,2705.04,10
81,189,Electronics,Fiction,466.22,19,2022-07-20,1078,California,Debit Card,8858.18,7
82,143,Clothing,Vegetable,201.52,16,2022-11-22,1043,Florida,Cash,3224.32,11
83,133,Books,Laptop,48.11,2,2023-05-26,1026,Florida,Debit Card,96.22,5
84,173,Groceries,Fruit,310.45,8,2023-02-13,1025,Texas,Cash,2483.6,2
85,161,Groceries,Fiction,61.35,6,2023-08-30,1096,Texas,Cash,368.1,8
86,199,Electronics,Fiction,175.89,12,2023-05-23,1078,California,Cash,2110.68,5
87,113,Books,Fruit,256.17,15,2023-08-24,1035,Texas,Cash,3842.55,8
88,194,Toys,Action Figure,437.74,8,2022-03-13,1054,Texas,Credit Card,3501.92,3
89,147,Groceries,Pants,249.31,4,2022-09-04,1063,Texas,Cash,997.24,9
90,114,Electronics,Shirt,352.62,15,2023-10-03,1090,Florida,PayPal,5289.3,10
91,171,Toys,Pants,496.44,17,2023-12-25,1056,California,PayPal,8439.48,12
92,177,Books,Fruit,70.09,13,2023-08-31,1068,Florida,PayPal,911.1700000000001,8
93,186,Groceries,Vegetable,140.99,18,2023-08-10,1060,Illinois,Cash,2537.82,8
94,161,Toys,Shirt,200.32,2,2023-07-20,1001,Florida,PayPal,400.64,7
95,139,Toys,Laptop,213.8,13,2022-12-10,1054,Illinois,Credit Card,2779.4,12
96,184,Toys,Pants,208.46,13,2022-02-23,1096,New York,Debit Card,2709.98,2
97,179,Groceries,Fruit,454.27,15,2023-12-31,1079,New York,Cash,6814.049999999999,12
98,181,Groceries,Pants,358.45,10,2023-06-12,1086,Illinois,PayPal,3584.5,6
99,152,Clothing,Shirt,305.91,3,2023-09-03,1037,Illinois,Credit Card,917.73,9
100,123,Books,Non-fiction,158.14,19,2023-06-16,1079,Florida,Debit Card,3004.66,6
101,125,Electronics,Board Game,412.78,3,2023-07-12,1077,Illinois,Credit Card,1238.34,7
102,188,Toys,Pants,477.75,14,2022-07-12,1028,California,PayPal,6688.5,7
103,159,Clothing,Laptop,411.49,8,2022-02-27,1025,New York,Credit Card,3291.92,2
104,140,Electronics,Laptop,5.77,4,2023-03-13,1034,New York,Debit Card,23.08,3
105,128,Clothing,Mobile,320.02,11,2022-04-21,1078,Illinois,PayPal,3520.22,4
106,114,Groceries,Pants,30.31,11,2022-05-09,1066,Texas,Debit Card,333.40999999999997,5
107,144,Toys,Board Game,132.52,11,2023-12-07,1086,Texas,Credit Card,1457.72,12
108,164,Electronics,Action Figure,34.46,2,2022-11-22,1028,Illinois,Cash,68.92,11
109,188,Electronics,Fiction,303.88,17,2022-01-08,1033,California,Cash,5165.96,1
110,170,Electronics,Board Game,344.86,9,2022-01-29,1096,Texas,Cash,3103.7400000000002,1
111,108,Electronics,Fiction,61.67,2,2022-04-22,1040,Illinois,Cash,123.34,4
112,187,Electronics,Fiction,195.0,15,2023-11-04,1040,California,Debit Card,2925.0,11
113,100,Clothing,Non-fiction,230.84,16,2022-05-11,1022,California,Cash,3693.44,5
114,107,Toys,Mobile,187.68,4,2022-07-07,1070,Florida,Debit Card,750.72,7
115,187,Groceries,Board Game,64.91,8,2023-11-06,1002,California,PayPal,519.28,11
116,162,Groceries,Board Game,212.38,9,2023-12-10,1057,Texas,Cash,1911.42,12
117,110,Groceries,Non-fiction,376.83,5,2023-04-20,1031,Texas,Debit Card,1884.1499999999999,4
118,180,Groceries,Pants,40.15,16,2022-12-30,1030,Illinois,Cash,642.4,12
119,107,Clothing,Pants,44.69,13,2022-07-23,1081,Illinois,Cash,580.97,7
120,134,Books,Pants,180.61,7,2022-07-31,1042,California,Cash,1264.27,7
121,134,Toys,Vegetable,471.15,17,2023-09-13,1006,New York,Debit Card,8009.549999999999,9
122,132,Electronics,Fiction,335.94,3,2022-10-03,1000,Florida,Credit Card,1007.8199999999999,10
123,104,Books,Vegetable,340.94,5,2022-03-14,1060,New York,Cash,1704.7,3
124,140,Groceries,Mobile,184.15,19,2023-11-10,1013,California,Cash,3498.85,11
125,127,Books,Non-fiction,298.86,12,2022-08-31,1051,California,PayPal,3586.32,8
126,106,Toys,Board Game,10.01,7,2022-04-12,1095,New York,Credit Card,70.07,4
127,172,Electronics,Fiction,319.87,9,2023-11-16,1005,Florida,Debit Card,2878.83,11
128,171,Electronics,Vegetable,457.08,6,2022-06-20,1009,New York,PayPal,2742.48,6
129,111,Toys,Vegetable,308.22,17,2023-10-15,1070,Illinois,Cash,5239.740000000001,10
130,133,Toys,Fruit,437.48,16,2022-07-07,1089,Texas,PayPal,6999.68,7
131,132,Groceries,Vegetable,363.37,3,2023-03-17,1097,Illinois,PayPal,1090.1100000000001,3
132,147,Electronics,Action Figure,64.68,4,2022-03-27,1029,Texas,Cash,258.72,3
133,122,Books,Board Game,451.71,10,2023-04-21,1099,California,Credit Card,4517.099999999999,4
134,161,Clothing,Action Figure,37.89,5,2022-02-21,1020,Florida,Credit Card,189.45,2
135,187,Clothing,Board Game,269.31,10,2022-04-21,1059,New York,PayPal,2693.1,4
136,136,Toys,Non-fiction,75.36,12,2022-02-12,1080,Florida,Cash,904.3199999999999,2
137,198,Groceries,Board Game,10.79,10,2022-07-30,1096,New York,Debit Card,107.89999999999999,7
138,143,Clothing,Action Figure,213.91,13,2022-07-19,1073,Illinois,PayPal,2780.83,7
139,185,Electronics,Board Game,151.05,11,2023-09-19,1062,Illinois,Debit Card,1661.5500000000002,9
140,190,Toys,Non-fiction,245.57,16,2022-01-26,1041,New York,PayPal,3929.12,1
141,134,Books,Non-fiction,290.71,8,2022-10-26,1050,Florida,PayPal,2325.68,10
142,164,Toys,Mobile,26.65,8,2022-03-18,1063,New York,Cash,213.2,3
143,198,Books,Board Game,65.89,8,2022-05-17,1075,California,Cash,527.12,5
144,146,Toys,Fruit,281.53,13,2022-01-20,1055,Illinois,Debit Card,3659.8899999999994,1
145,177,Toys,Pants,174.87,2,2023-03-16,1079,California,Debit Card,349.74,3
146,102,Toys,Laptop,365.94,12,2022-07-30,1040,Illinois,Credit Card,4391.28,7
147,100,Books,Non-fiction,327.88,10,2023-07-05,1031,Illinois,Cash,3278.8,7
148,104,Books,Shirt,423.57,12,2023-03-11,1014,Texas,PayPal,5082.84,3
149,189,Toys,Pants,347.78,11,2022-07-26,1061,California,PayPal,3825.58,7
150,113,Clothing,Fiction,217.82,15,2023-03-15,1026,California,Credit Card,3267.2999999999997,3
151,126,Groceries,Board Game,338.12,16,2023-10-28,1027,Texas,Cash,5409.92,10
152,108,Groceries,Action Figure,141.31,17,2022-02-11,1080,Florida,PayPal,2402.27,2
153,178,Groceries,Laptop,156.63,2,2023-02-15,1063,California,Credit Card,313.26,2
154,114,Books,Shirt,395.55,18,2023-06-07,1058,New York,Credit Card,7119.900000000001,6
155,189,Books,Pants,225.98,12,2023-09-02,1057,Texas,PayPal,2711.7599999999998,9
156,141,Clothing,Board Game,400.2,19,2023-03-03,1001,California,PayPal,7603.8,3
157,176,Groceries,Mobile,412.1,18,2022-10-02,1035,Florida,Debit Card,7417.8,10
158,150,Groceries,Fiction,429.49,17,2023-03-24,1070,California,Cash,7301.33,3
159,162,Toys,Laptop,458.73,6,2023-01-04,1012,Illinois,Debit Card,2752.38,1
160,195,Books,Fruit,218.34,15,2022-08-08,1014,New York,Credit Card,3275.1,8
161,151,Groceries,Mobile,162.84,3,2023-07-31,1088,Texas,PayPal,488.52,7
162,195,Clothing,Shirt,293.19,6,2022-08-20,1086,Illinois,Debit Card,1759.1399999999999,8
163,103,Clothing,Laptop,188.73,3,2022-11-24,1059,Florida,Credit Card,566.1899999999999,11
164,193,Groceries,Mobile,302.53,1,2023-03-19,1021,Illinois,Cash,302.53,3
165,122,Books,Fiction,354.27,13,2022-02-21,1062,Illinois,PayPal,4605.51,2
166,114,Clothing,Fruit,345.76,14,2023-01-11,1089,Florida,Debit Card,4840.639999999999,1
167,142,Toys,Mobile,190.4,13,2022-09-20,1096,Illinois,Cash,2475.2000000000003,9
168,128,Clothing,Vegetable,87.6,4,2022-09-24,1074,Texas,Debit Card,350.4,9
169,135,Electronics,Fruit,218.11,7,2022-12-25,1073,California,Credit Card,1526.77,12
170,112,Electronics,Shirt,75.58,10,2022-11-13,1024,Illinois,Cash,755.8,11
171,131,Books,Fiction,445.6,7,2022-11-20,1047,Texas,Debit Card,3119.2000000000003,11
172,170,Groceries,Board Game,176.21,15,2023-10-28,1042,California,Cash,2643.15,10
173,158,Books,Action Figure,81.46,15,2023-10-14,1037,California,Credit Card,1221.8999999999999,10
174,185,Books,Action Figure,17.6,4,2023-07-17,1040,Illinois,Cash,70.4,7
175,127,Books,Action Figure,324.68,6,2023-09-21,1044,Texas,Debit Card,1948.08,9
176,165,Books,Laptop,320.27,5,2023-02-25,1087,Illinois,Credit Card,1601.35,2
177,141,Toys,Shirt,173.6,12,2022-02-15,1039,Florida,PayPal,2083.2,2
178,144,Toys,Fiction,40.5,1,2023-08-23,1096,California,Debit Card,40.5,8
179,161,Clothing,Fruit,207.77,8,2023-12-21,1016,Illinois,Debit Card,1662.16,12
180,156,Electronics,Laptop,159.05,1,2022-09-26,1087,California,Credit Card,159.05,9
181,105,Books,Shirt,340.17,5,2023-08-24,1056,Texas,Credit Card,1700.8500000000001,8
182,127,Clothing,Board Game,304.86,6,2023-01-16,1001,New York,PayPal,1829.16,1
183,127,Electronics,Vegetable,185.47,3,2022-04-28,1095,Illinois,Debit Card,556.41,4
184,143,Groceries,Fiction,112.86,15,2023-07-20,1061,Illinois,Credit Card,1692.9,7
185,183,Toys,Action Figure,494.08,5,2022-04-26,1087,California,PayPal,2470.4,4
186,129,Electronics,Mobile,229.73,14,2023-09-22,1008,Texas,PayPal,3216.22,9
187,161,Groceries,Fiction,345.7,18,2022-09-17,1067,Florida,Credit Card,6222.599999999999,9
188,174,Electronics,Non-fiction,74.57,16,2022-03-16,1080,Texas,Debit Card,1193.12,3
189,191,Toys,Shirt,245.37,6,2023-04-25,1016,Illinois,Cash,1472.22,4
190,188,Toys,Pants,18.63,14,2022-11-01,1049,Florida,Cash,260.82,11
191,161,Clothing,Board Game,255.2,8,2022-01-07,1093,Texas,PayPal,2041.6,1
192,196,Books,Vegetable,482.19,7,2023-01-01,1039,New York,Cash,3375.33,1
193,100,Electronics,Board Game,195.18,8,2023-09-26,1057,California,Cash,1561.44,9
194,126,Electronics,Fiction,24.3,13,2023-06-07,1074,Texas,Credit Card,315.90000000000003,6
195,161,Groceries,Pants,20.32,6,2022-12-14,1084,Texas,PayPal,121.92,12
196,176,Toys,Non-fiction,197.05,18,2023-03-14,1020,New York,Debit Card,3546.9,3
197,102,Electronics,Fruit,84.21,2,2022-08-03,1017,Illinois,PayPal,168.42,8
198,169,Toys,Mobile,16.56,8,2023-03-05,1054,California,Credit Card,132.48,3
199,171,Electronics,Pants,379.33,11,2023-05-13,1028,Texas,Cash,4172.63,5
200,126,Clothing,Shirt,231.97,1,2023-06-24,1023,Florida,Debit Card,231.97,6
201,108,Books,Action Figure,148.18,6,2023-01-02,1073,Texas,PayPal,889.08,1
202,161,Electronics,Non-fiction,450.54,16,2022-11-09,1016,California,Cash,7208.64,11
203,136,Toys,Mobile,62.49,12,2023-06-22,1017,Texas,PayPal,749.88,6
204,196,Clothing,Vegetable,478.18,11,2022-02-23,1041,New York,Debit Card,5259.9800000000005,2
205,150,Electronics,Action Figure,160.41,10,2023-06-25,1083,Texas,PayPal,1604.1,6
206,143,Groceries,Fiction,444.76,3,2023-04-12,1044,Texas,PayPal,1334.28,4
207,123,Books,Pants,303.46,13,2022-06-13,1081,Florida,PayPal,3944.9799999999996,6
208,178,Electronics,Mobile,414.22,3,2022-11-30,1016,New York,Cash,1242.66,11
209,158,Clothing,Laptop,492.09,15,2023-07-01,1072,New York,Debit Card,7381.349999999999,7
210,131,Groceries,Fruit,147.76,16,2022-12-14,1013,Texas,Debit Card,2364.16,12
211,195,Clothing,Fruit,480.76,13,2022-09-30,1048,Florida,Cash,6249.88,9
212,187,Clothing,Non-fiction,197.79,17,2023-12-21,1028,Texas,Cash,3362.43,12
213,151,Groceries,Vegetable,195.83,3,2023-02-18,1094,Texas,Cash,587.49,2
214,161,Clothing,Non-fiction,173.49,11,2023-05-15,1003,California,Credit Card,1908.39,5
215,157,Groceries,Laptop,273.0,19,2022-04-03,1081,California,PayPal,5187.0,4
216,151,Electronics,Shirt,81.3,11,2023-11-16,1019,Florida,PayPal,894.3,11
217,111,Groceries,Vegetable,279.09,16,2022-03-20,1046,Illinois,Debit Card,4465.44,3
218,138,Groceries,Board Game,273.14,3,2023-09-14,1008,California,PayPal,819.42,9
219,101,Books,Shirt,382.14,6,2022-08-05,1076,Illinois,Credit Card,2292.84,8
220,102,Groceries,Vegetable,417.66,14,2022-12-24,1078,New York,Cash,5847.240000000001,12
221,155,Groceries,Vegetable,223.02,18,2023-09-10,1026,California,Debit Card,4014.36,9
222,180,Electronics,Laptop,154.65,17,2023-05-22,1014,California,Debit Card,2629.05,5
223,158,Books,Fiction,133.37,4,2023-07-13,1091,Florida,PayPal,533.48,7
224,101,Toys,Laptop,101.34,15,2022-06-30,1018,Illinois,Debit Card,1520.1000000000001,6
225,101,Electronics,Vegetable,33.54,11,2023-07-30,1089,California,Cash,368.94,7
226,191,Electronics,Mobile,174.51,3,2022-09-03,1051,California,Debit Card,523.53,9
227,153,Toys,Shirt,138.77,3,2022-09-01,1025,Florida,Cash,416.31000000000006,9
228,186,Groceries,Laptop,483.38,16,2023-05-21,1088,Florida,Credit Card,7734.08,5
229,195,Clothing,Fiction,281.07,5,2023-02-26,1025,Illinois,Credit Card,1405.35,2
230,196,Books,Pants,176.9,10,2022-11-16,1025,New York,Cash,1769.0,11
231,100,Clothing,Non-fiction,292.33,19,2022-03-28,1045,New York,PayPal,5554.2699999999995,3
232,118,Toys,Vegetable,73.9,4,2022-08-05,1091,Texas,Debit Card,295.6,8
233,101,Electronics,Board Game,224.8,19,2023-05-05,1048,California,PayPal,4271.2,5
234,152,Electronics,Pants,314.99,11,2023-06-03,1081,Illinois,Debit Card,3464.8900000000003,6
235,143,Books,Fruit,247.0,2,2022-10-05,1095,California,Credit Card,494.0,10
236,189,Electronics,Action Figure,203.88,10,2023-12-23,1052,Illinois,Credit Card,2038.8,12
237,131,Electronics,Fiction,496.95,11,2022-06-18,1002,Illinois,Credit Card,5466.45,6
238,169,Books,Board Game,440.76,16,2022-11-26,1065,Illinois,Debit Card,7052.16,11
239,131,Books,Action Figure,313.59,19,2023-10-12,1096,California,Credit Card,5958.209999999999,10
240,167,Toys,Fiction,286.84,11,2023-03-17,1041,Florida,Credit Card,3155.24,3
241,154,Electronics,Mobile,312.23,14,2023-01-26,1018,California,Credit Card,4371.22,1
242,174,Electronics,Non-fiction,104.65,2,2023-05-11,1016,Illinois,Credit Card,209.3,5
243,155,Toys,Pants,200.59,5,2023-01-16,1032,Texas,PayPal,1002.95,1
244,116,Groceries,Shirt,24.53,5,2022-11-02,1075,New York,Credit Card,122.65,11
245,137,Groceries,Fiction,240.4,19,2023-11-04,1048,Illinois,Credit Card,4567.6,11
246,123,Groceries,Shirt,273.8,12,2023-05-28,1055,Texas,PayPal,3285.6000000000004,5
247,168,Toys,Non-fiction,117.74,18,2022-07-07,1062,Florida,PayPal,2119.3199999999997,7
248,197,Electronics,Vegetable,482.19,4,2023-05-31,1002,Illinois,Debit Card,1928.76,5
249,169,Toys,Fruit,455.18,17,2023-10-06,1048,Texas,Cash,7738.06,10
250,185,Toys,Pants,362.46,10,2023-03-03,1054,Illinois,Credit Card,3624.6,3
251,110,Groceries,Non-fiction,269.03,6,2023-05-17,1025,California,Credit Card,1614.1799999999998,5
252,115,Clothing,Non-fiction,435.63,14,2023-12-31,1098,Texas,Credit Card,6098.82,12
253,196,Electronics,Mobile,69.67,11,2022-09-17,1071,California,Debit Card,766.37,9
254,172,Groceries,Action Figure,396.3,11,2023-05-28,1051,California,Credit Card,4359.3,5
255,158,Clothing,Fruit,66.79,18,2022-03-12,1099,Texas,Cash,1202.22,3
256,169,Clothing,Pants,398.13,18,2023-04-23,1006,New York,PayPal,7166.34,4
257,179,Books,Vegetable,141.5,11,2022-06-27,1045,Texas,Debit Card,1556.5,6
258,192,Electronics,Vegetable,439.16,12,2023-04-02,1045,New York,PayPal,5269.92,4
259,102,Clothing,Laptop,472.3,5,2022-07-08,1099,Illinois,Credit Card,2361.5,7
260,119,Groceries,Non-fiction,78.65,9,2022-10-18,1015,Illinois,Credit Card,707.85,10
261,158,Books,Fiction,234.02,9,2023-06-04,1023,Texas,Credit Card,2106.1800000000003,6
262,135,Electronics,Mobile,490.59,10,2022-10-19,1060,Illinois,Cash,4905.9,10
263,118,Toys,Fruit,244.29,19,2023-09-27,1053,Florida,Cash,4641.51,9
264,189,Groceries,Vegetable,432.46,1,2022-10-10,1061,California,Debit Card,432.46,10
265,166,Clothing,Pants,296.42,7,2023-06-28,1000,California,PayPal,2074.94,6
266,118,Clothing,Laptop,190.79,4,2023-01-12,1048,New York,Credit Card,763.16,1
267,119,Groceries,Pants,146.46,1,2023-10-20,1024,Illinois,Credit Card,146.46,10
268,195,Clothing,Mobile,105.6,15,2022-06-05,1009,New York,Credit Card,1584.0,6
269,170,Books,Fiction,382.09,8,2023-05-23,1079,California,Credit Card,3056.72,5
270,151,Electronics,Laptop,196.34,12,2023-02-17,1015,California,Cash,2356.08,2
271,132,Books,Laptop,258.08,18,2023-06-12,1057,Illinois,PayPal,4645.44,6
272,139,Clothing,Action Figure,248.7,15,2022-12-21,1071,Florida,PayPal,3730.5,12
273,138,Toys,Fruit,290.75,17,2023-07-13,1028,Florida,Debit Card,4942.75,7
274,181,Electronics,Laptop,433.46,14,2022-07-06,1091,Illinois,Cash,6068.44,7
275,100,Electronics,Action Figure,490.47,14,2022-01-31,1005,Illinois,Credit Card,6866.58,1
276,110,Groceries,Action Figure,206.75,18,2022-09-17,1015,New York,PayPal,3721.5,9
277,191,Groceries,Mobile,414.62,18,2023-02-25,1019,Illinois,PayPal,7463.16,2
278,156,Toys,Shirt,383.44,16,2023-06-13,1079,Florida,Cash,6135.04,6
279,188,Electronics,Pants,288.9,1,2023-07-05,1070,Illinois,Debit Card,288.9,7
280,149,Toys,Fiction,478.24,11,2022-10-31,1077,New York,Debit Card,5260.64,10
281,122,Groceries,Board Game,104.23,15,2022-02-08,1042,New York,Credit Card,1563.45,2
282,130,Groceries,Pants,59.09,12,2023-05-04,1025,New York,Debit Card,709.08,5
283,193,Electronics,Laptop,427.71,8,2023-10-06,1089,New York,PayPal,3421.68,10
284,141,Books,Fiction,222.38,6,2023-06-26,1077,Texas,Debit Card,1334.28,6
285,198,Clothing,Vegetable,424.25,3,2023-11-01,1070,Illinois,Credit Card,1272.75,11
286,106,Groceries,Shirt,447.08,13,2022-10-05,1032,California,PayPal,5812.04,10
287,115,Groceries,Vegetable,35.92,13,2022-07-22,1025,Illinois,Debit Card,466.96000000000004,7
288,189,Books,Vegetable,442.32,2,2022-03-07,1044,Texas,Debit Card,884.64,3
289,159,Books,Fruit,226.92,5,2022-04-18,1083,New York,Cash,1134.6,4
290,101,Toys,Pants,257.66,17,2022-09-25,1062,Texas,Credit Card,4380.22,9
291,100,Toys,Board Game,315.16,6,2022-08-10,1066,Florida,Debit Card,1890.96,8
292,147,Clothing,Mobile,463.56,2,2023-06-14,1051,Florida,Cash,927.12,6
293,111,Clothing,Board Game,14.46,4,2022-03-31,1067,Illinois,PayPal,57.84,3
294,168,Electronics,Vegetable,241.04,11,2023-11-24,1025,Illinois,Cash,2651.44,11
295,136,Toys,Laptop,345.42,8,2022-09-12,1074,California,Cash,2763.36,9
296,131,Groceries,Shirt,362.74,12,2023-03-31,1001,California,Debit Card,4352.88,3
297,108,Toys,Non-fiction,347.8,8,2022-09-10,1013,Florida,Debit Card,2782.4,9
298,198,Groceries,Board Game,71.55,11,2022-09-14,1029,New York,Debit Card,787.05,9
299,118,Books,Vegetable,153.2,8,2023-01-18,1048,Texas,Cash,1225.6,1
300,147,Toys,Shirt,182.56,8,2023-03-18,1011,California,PayPal,1460.48,3
301,179,Books,Fiction,403.2,17,2023-08-22,1089,California,Credit Card,6854.4,8
