Transaction ID,Product ID,Product Category,Product Subcategory,Product Price,Quantity Sold,Transaction Date,Customer ID,Customer Location,Payment Method,Transaction_Date,Product_Price,Quantity_Sold,Total_Sales,Transaction_Month
95,139,Toys,Laptop,213.8,13,2022-12-10,1054,Illinois,Credit Card,2022-12-10,213.8,13,2779.4,12
96,184,Toys,Pants,208.46,13,2022-02-23,1096,New York,Debit Card,2022-02-23,208.46,13,2709.98,2
97,179,Groceries,Fruit,454.27,15,2023-12-31,1079,New York,Cash,2023-12-31,454.27,15,6814.049999999999,12
98,181,Groceries,Pants,358.45,10,2023-06-12,1086,Illinois,PayPal,2023-06-12,358.45,10,3584.5,6
99,152,Clothing,Shirt,305.91,3,2023-09-03,1037,Illinois,Credit Card,2023-09-03,305.91,3,917.73,9
100,123,Books,Non-fiction,158.14,19,2023-06-16,1079,Florida,Debit Card,2023-06-16,158.14,19,3004.66,6
101,125,Electronics,Board Game,412.78,3,2023-07-12,1077,Illinois,Credit Card,2023-07-12,412.78,3,1238.34,7
102,188,Toys,Pants,477.75,14,2022-07-12,1028,California,PayPal,2022-07-12,477.75,14,6688.5,7
103,159,Clothing,Laptop,411.49,8,2022-02-27,1025,New York,Credit Card,2022-02-27,411.49,8,3291.92,2
104,140,Electronics,Laptop,5.77,4,2023-03-13,1034,New York,Debit Card,2023-03-13,5.77,4,23.08,3
105,128,Clothing,Mobile,320.02,11,2022-04-21,1078,Illinois,PayPal,2022-04-21,320.02,11,3520.22,4
106,114,Groceries,Pants,30.31,11,2022-05-09,1066,Texas,Debit Card,2022-05-09,30.31,11,333.40999999999997,5
107,144,Toys,Board Game,132.52,11,2023-12-07,1086,Texas,Credit Card,2023-12-07,132.52,11,1457.72,12
108,164,Electronics,Action Figure,34.46,2,2022-11-22,1028,Illinois,Cash,2022-11-22,34.46,2,68.92,11
109,188,Electronics,Fiction,303.88,17,2022-01-08,1033,California,Cash,2022-01-08,303.88,17,5165.96,1
110,170,Electronics,Board Game,344.86,9,2022-01-29,1096,Texas,Cash,2022-01-29,344.86,9,3103.7400000000002,1
111,108,Electronics,Fiction,61.67,2,2022-04-22,1040,Illinois,Cash,2022-04-22,61.67,2,123.34,4
112,187,Electronics,Fiction,195.0,15,2023-11-04,1040,California,Debit Card,2023-11-04,195.0,15,2925.0,11
113,100,Clothing,Non-fiction,230.84,16,2022-05-11,1022,California,Cash,2022-05-11,230.84,16,3693.44,5
114,107,Toys,Mobile,187.68,4,2022-07-07,1070,Florida,Debit Card,2022-07-07,187.68,4,750.72,7
115,187,Groceries,Board Game,64.91,8,2023-11-06,1002,California,PayPal,2023-11-06,64.91,8,519.28,11
116,162,Groceries,Board Game,212.38,9,2023-12-10,1057,Texas,Cash,2023-12-10,212.38,9,1911.42,12
117,110,Groceries,Non-fiction,376.83,5,2023-04-20,1031,Texas,Debit Card,2023-04-20,376.83,5,1884.1499999999999,4
118,180,Groceries,Pants,40.15,16,2022-12-30,1030,Illinois,Cash,2022-12-30,40.15,16,642.4,12
119,107,Clothing,Pants,44.69,13,2022-07-23,1081,Illinois,Cash,2022-07-23,44.69,13,580.97,7
120,134,Books,Pants,180.61,7,2022-07-31,1042,California,Cash,2022-07-31,180.61,7,1264.27,7
121,134,Toys,Vegetable,471.15,17,2023-09-13,1006,New York,Debit Card,2023-09-13,471.15,17,8009.549999999999,9
122,132,Electronics,Fiction,335.94,3,2022-10-03,1000,Florida,Credit Card,2022-10-03,335.94,3,1007.8199999999999,10
123,104,Books,Vegetable,340.94,5,2022-03-14,1060,New York,Cash,2022-03-14,340.94,5,1704.7,3
124,140,Groceries,Mobile,184.15,19,2023-11-10,1013,California,Cash,2023-11-10,184.15,19,3498.85,11
125,127,Books,Non-fiction,298.86,12,2022-08-31,1051,California,PayPal,2022-08-31,298.86,12,3586.32,8
126,106,Toys,Board Game,10.01,7,2022-04-12,1095,New York,Credit Card,2022-04-12,10.01,7,70.07,4
127,172,Electronics,Fiction,319.87,9,2023-11-16,1005,Florida,Debit Card,2023-11-16,319.87,9,2878.83,11
128,171,Electronics,Vegetable,457.08,6,2022-06-20,1009,New York,PayPal,2022-06-20,457.08,6,2742.48,6
129,111,Toys,Vegetable,308.22,17,2023-10-15,1070,Illinois,Cash,2023-10-15,308.22,17,5239.740000000001,10
130,133,Toys,Fruit,437.48,16,2022-07-07,1089,Texas,PayPal,2022-07-07,437.48,16,6999.68,7
131,132,Groceries,Vegetable,363.37,3,2023-03-17,1097,Illinois,PayPal,2023-03-17,363.37,3,1090.1100000000001,3
132,147,Electronics,Action Figure,64.68,4,2022-03-27,1029,Texas,Cash,2022-03-27,64.68,4,258.72,3
133,122,Books,Board Game,451.71,10,2023-04-21,1099,California,Credit Card,2023-04-21,451.71,10,4517.099999999999,4
134,161,Clothing,Action Figure,37.89,5,2022-02-21,1020,Florida,Credit Card,2022-02-21,37.89,5,189.45,2
135,187,Clothing,Board Game,269.31,10,2022-04-21,1059,New York,PayPal,2022-04-21,269.31,10,2693.1,4
136,136,Toys,Non-fiction,75.36,12,2022-02-12,1080,Florida,Cash,2022-02-12,75.36,12,904.3199999999999,2
137,198,Groceries,Board Game,10.79,10,2022-07-30,1096,New York,Debit Card,2022-07-30,10.79,10,107.89999999999999,7
138,143,Clothing,Action Figure,213.91,13,2022-07-19,1073,Illinois,PayPal,2022-07-19,213.91,13,2780.83,7
139,185,Electronics,Board Game,151.05,11,2023-09-19,1062,Illinois,Debit Card,2023-09-19,151.05,11,1661.5500000000002,9
140,190,Toys,Non-fiction,245.57,16,2022-01-26,1041,New York,PayPal,2022-01-26,245.57,16,3929.12,1
141,134,Books,Non-fiction,290.71,8,2022-10-26,1050,Florida,PayPal,2022-10-26,290.71,8,2325.68,10
142,164,Toys,Mobile,26.65,8,2022-03-18,1063,New York,Cash,2022-03-18,26.65,8,213.2,3
143,198,Books,Board Game,65.89,8,2022-05-17,1075,California,Cash,2022-05-17,65.89,8,527.12,5
144,146,Toys,Fruit,281.53,13,2022-01-20,1055,Illinois,Debit Card,2022-01-20,281.53,13,3659.8899999999994,1
145,177,Toys,Pants,174.87,2,2023-03-16,1079,California,Debit Card,2023-03-16,174.87,2,349.74,3
146,102,Toys,Laptop,365.94,12,2022-07-30,1040,Illinois,Credit Card,2022-07-30,365.94,12,4391.28,7
147,100,Books,Non-fiction,327.88,10,2023-07-05,1031,Illinois,Cash,2023-07-05,327.88,10,3278.8,7
148,104,Books,Shirt,423.57,12,2023-03-11,1014,Texas,PayPal,2023-03-11,423.57,12,5082.84,3
149,189,Toys,Pants,347.78,11,2022-07-26,1061,California,PayPal,2022-07-26,347.78,11,3825.58,7
150,113,Clothing,Fiction,217.82,15,2023-03-15,1026,California,Credit Card,2023-03-15,217.82,15,3267.2999999999997,3
151,126,Groceries,Board Game,338.12,16,2023-10-28,1027,Texas,Cash,2023-10-28,338.12,16,5409.92,10
152,108,Groceries,Action Figure,141.31,17,2022-02-11,1080,Florida,PayPal,2022-02-11,141.31,17,2402.27,2
153,178,Groceries,Laptop,156.63,2,2023-02-15,1063,California,Credit Card,2023-02-15,156.63,2,313.26,2
154,114,Books,Shirt,395.55,18,2023-06-07,1058,New York,Credit Card,2023-06-07,395.55,18,7119.900000000001,6
155,189,Books,Pants,225.98,12,2023-09-02,1057,Texas,PayPal,2023-09-02,225.98,12,2711.7599999999998,9
156,141,Clothing,Board Game,400.2,19,2023-03-03,1001,California,PayPal,2023-03-03,400.2,19,7603.8,3
157,176,Groceries,Mobile,412.1,18,2022-10-02,1035,Florida,Debit Card,2022-10-02,412.1,18,7417.8,10
158,150,Groceries,Fiction,429.49,17,2023-03-24,1070,California,Cash,2023-03-24,429.49,17,7301.33,3
159,162,Toys,Laptop,458.73,6,2023-01-04,1012,Illinois,Debit Card,2023-01-04,458.73,6,2752.38,1
160,195,Books,Fruit,218.34,15,2022-08-08,1014,New York,Credit Card,2022-08-08,218.34,15,3275.1,8
161,151,Groceries,Mobile,162.84,3,2023-07-31,1088,Texas,PayPal,2023-07-31,162.84,3,488.52,7
162,195,Clothing,Shirt,293.19,6,2022-08-20,1086,Illinois,Debit Card,2022-08-20,293.19,6,1759.1399999999999,8
163,103,Clothing,Laptop,188.73,3,2022-11-24,1059,Florida,Credit Card,2022-11-24,188.73,3,566.1899999999999,11
164,193,Groceries,Mobile,302.53,1,2023-03-19,1021,Illinois,Cash,2023-03-19,302.53,1,302.53,3
165,122,Books,Fiction,354.27,13,2022-02-21,1062,Illinois,PayPal,2022-02-21,354.27,13,4605.51,2
166,114,Clothing,Fruit,345.76,14,2023-01-11,1089,Florida,Debit Card,2023-01-11,345.76,14,4840.639999999999,1
167,142,Toys,Mobile,190.4,13,2022-09-20,1096,Illinois,Cash,2022-09-20,190.4,13,2475.2000000000003,9
168,128,Clothing,Vegetable,87.6,4,2022-09-24,1074,Texas,Debit Card,2022-09-24,87.6,4,350.4,9
169,135,Electronics,Fruit,218.11,7,2022-12-25,1073,California,Credit Card,2022-12-25,218.11,7,1526.77,12
170,112,Electronics,Shirt,75.58,10,2022-11-13,1024,Illinois,Cash,2022-11-13,75.58,10,755.8,11
171,131,Books,Fiction,445.6,7,2022-11-20,1047,Texas,Debit Card,2022-11-20,445.6,7,3119.2000000000003,11
172,170,Groceries,Board Game,176.21,15,2023-10-28,1042,California,Cash,2023-10-28,176.21,15,2643.15,10
173,158,Books,Action Figure,81.46,15,2023-10-14,1037,California,Credit Card,2023-10-14,81.46,15,1221.8999999999999,10
174,185,Books,Action Figure,17.6,4,2023-07-17,1040,Illinois,Cash,2023-07-17,17.6,4,70.4,7
175,127,Books,Action Figure,324.68,6,2023-09-21,1044,Texas,Debit Card,2023-09-21,324.68,6,1948.08,9
176,165,Books,Laptop,320.27,5,2023-02-25,1087,Illinois,Credit Card,2023-02-25,320.27,5,1601.35,2
177,141,Toys,Shirt,173.6,12,2022-02-15,1039,Florida,PayPal,2022-02-15,173.6,12,2083.2,2
178,144,Toys,Fiction,40.5,1,2023-08-23,1096,California,Debit Card,2023-08-23,40.5,1,40.5,8
179,161,Clothing,Fruit,207.77,8,2023-12-21,1016,Illinois,Debit Card,2023-12-21,207.77,8,1662.16,12
180,156,Electronics,Laptop,159.05,1,2022-09-26,1087,California,Credit Card,2022-09-26,159.05,1,159.05,9
181,105,Books,Shirt,340.17,5,2023-08-24,1056,Texas,Credit Card,2023-08-24,340.17,5,1700.8500000000001,8
182,127,Clothing,Board Game,304.86,6,2023-01-16,1001,New York,PayPal,2023-01-16,304.86,6,1829.16,1
183,127,Electronics,Vegetable,185.47,3,2022-04-28,1095,Illinois,Debit Card,2022-04-28,185.47,3,556.41,4
184,143,Groceries,Fiction,112.86,15,2023-07-20,1061,Illinois,Credit Card,2023-07-20,112.86,15,1692.9,7
185,183,Toys,Action Figure,494.08,5,2022-04-26,1087,California,PayPal,2022-04-26,494.08,5,2470.4,4
186,129,Electronics,Mobile,229.73,14,2023-09-22,1008,Texas,PayPal,2023-09-22,229.73,14,3216.22,9
187,161,Groceries,Fiction,345.7,18,2022-09-17,1067,Florida,Credit Card,2022-09-17,345.7,18,6222.599999999999,9
188,174,Electronics,Non-fiction,74.57,16,2022-03-16,1080,Texas,Debit Card,2022-03-16,74.57,16,1193.12,3
189,191,Toys,Shirt,245.37,6,2023-04-25,1016,Illinois,Cash,2023-04-25,245.37,6,1472.22,4
190,188,Toys,Pants,18.63,14,2022-11-01,1049,Florida,Cash,2022-11-01,18.63,14,260.82,11
191,161,Clothing,Board Game,255.2,8,2022-01-07,1093,Texas,PayPal,2022-01-07,255.2,8,2041.6,1
192,196,Books,Vegetable,482.19,7,2023-01-01,1039,New York,Cash,2023-01-01,482.19,7,3375.33,1
193,100,Electronics,Board Game,195.18,8,2023-09-26,1057,California,Cash,2023-09-26,195.18,8,1561.44,9
194,126,Electronics,Fiction,24.3,13,2023-06-07,1074,Texas,Credit Card,2023-06-07,24.3,13,315.90000000000003,6
195,161,Groceries,Pants,20.32,6,2022-12-14,1084,Texas,PayPal,2022-12-14,20.32,6,121.92,12
196,176,Toys,Non-fiction,197.05,18,2023-03-14,1020,New York,Debit Card,2023-03-14,197.05,18,3546.9,3
197,102,Electronics,Fruit,84.21,2,2022-08-03,1017,Illinois,PayPal,2022-08-03,84.21,2,168.42,8
198,169,Toys,Mobile,16.56,8,2023-03-05,1054,California,Credit Card,2023-03-05,16.56,8,132.48,3
199,171,Electronics,Pants,379.33,11,2023-05-13,1028,Texas,Cash,2023-05-13,379.33,11,4172.63,5
200,126,Clothing,Shirt,231.97,1,2023-06-24,1023,Florida,Debit Card,2023-06-24,231.97,1,231.97,6
201,108,Books,Action Figure,148.18,6,2023-01-02,1073,Texas,PayPal,2023-01-02,148.18,6,889.08,1
202,161,Electronics,Non-fiction,450.54,16,2022-11-09,1016,California,Cash,2022-11-09,450.54,16,7208.64,11
203,136,Toys,Mobile,62.49,12,2023-06-22,1017,Texas,PayPal,2023-06-22,62.49,12,749.88,6
204,196,Clothing,Vegetable,478.18,11,2022-02-23,1041,New York,Debit Card,2022-02-23,478.18,11,5259.9800000000005,2
205,150,Electronics,Action Figure,160.41,10,2023-06-25,1083,Texas,PayPal,2023-06-25,160.41,10,1604.1,6
206,143,Groceries,Fiction,444.76,3,2023-04-12,1044,Texas,PayPal,2023-04-12,444.76,3,1334.28,4
207,123,Books,Pants,303.46,13,2022-06-13,1081,Florida,PayPal,2022-06-13,303.46,13,3944.9799999999996,6
208,178,Electronics,Mobile,414.22,3,2022-11-30,1016,New York,Cash,2022-11-30,414.22,3,1242.66,11
209,158,Clothing,Laptop,492.09,15,2023-07-01,1072,New York,Debit Card,2023-07-01,492.09,15,7381.349999999999,7
210,131,Groceries,Fruit,147.76,16,2022-12-14,1013,Texas,Debit Card,2022-12-14,147.76,16,2364.16,12
211,195,Clothing,Fruit,480.76,13,2022-09-30,1048,Florida,Cash,2022-09-30,480.76,13,6249.88,9
212,187,Clothing,Non-fiction,197.79,17,2023-12-21,1028,Texas,Cash,2023-12-21,197.79,17,3362.43,12
213,151,Groceries,Vegetable,195.83,3,2023-02-18,1094,Texas,Cash,2023-02-18,195.83,3,587.49,2
214,161,Clothing,Non-fiction,173.49,11,2023-05-15,1003,California,Credit Card,2023-05-15,173.49,11,1908.39,5
215,157,Groceries,Laptop,273.0,19,2022-04-03,1081,California,PayPal,2022-04-03,273.0,19,5187.0,4
216,151,Electronics,Shirt,81.3,11,2023-11-16,1019,Florida,PayPal,2023-11-16,81.3,11,894.3,11
217,111,Groceries,Vegetable,279.09,16,2022-03-20,1046,Illinois,Debit Card,2022-03-20,279.09,16,4465.44,3
218,138,Groceries,Board Game,273.14,3,2023-09-14,1008,California,PayPal,2023-09-14,273.14,3,819.42,9
219,101,Books,Shirt,382.14,6,2022-08-05,1076,Illinois,Credit Card,2022-08-05,382.14,6,2292.84,8
220,102,Groceries,Vegetable,417.66,14,2022-12-24,1078,New York,Cash,2022-12-24,417.66,14,5847.240000000001,12
221,155,Groceries,Vegetable,223.02,18,2023-09-10,1026,California,Debit Card,2023-09-10,223.02,18,4014.36,9
222,180,Electronics,Laptop,154.65,17,2023-05-22,1014,California,Debit Card,2023-05-22,154.65,17,2629.05,5
223,158,Books,Fiction,133.37,4,2023-07-13,1091,Florida,PayPal,2023-07-13,133.37,4,533.48,7
224,101,Toys,Laptop,101.34,15,2022-06-30,1018,Illinois,Debit Card,2022-06-30,101.34,15,1520.1000000000001,6
225,101,Electronics,Vegetable,33.54,11,2023-07-30,1089,California,Cash,2023-07-30,33.54,11,368.94,7
226,191,Electronics,Mobile,174.51,3,2022-09-03,1051,California,Debit Card,2022-09-03,174.51,3,523.53,9
227,153,Toys,Shirt,138.77,3,2022-09-01,1025,Florida,Cash,2022-09-01,138.77,3,416.31000000000006,9
228,186,Groceries,Laptop,483.38,16,2023-05-21,1088,Florida,Credit Card,2023-05-21,483.38,16,7734.08,5
229,195,Clothing,Fiction,281.07,5,2023-02-26,1025,Illinois,Credit Card,2023-02-26,281.07,5,1405.35,2
230,196,Books,Pants,176.9,10,2022-11-16,1025,New York,Cash,2022-11-16,176.9,10,1769.0,11
231,100,Clothing,Non-fiction,292.33,19,2022-03-28,1045,New York,PayPal,2022-03-28,292.33,19,5554.2699999999995,3
232,118,Toys,Vegetable,73.9,4,2022-08-05,1091,Texas,Debit Card,2022-08-05,73.9,4,295.6,8
233,101,Electronics,Board Game,224.8,19,2023-05-05,1048,California,PayPal,2023-05-05,224.8,19,4271.2,5
234,152,Electronics,Pants,314.99,11,2023-06-03,1081,Illinois,Debit Card,2023-06-03,314.99,11,3464.8900000000003,6
